City,Zone,Ward Name,Ward No.,No. Notified Slums,No. of Recognised Slums,No. of Identfied Slums,Slum Population - Total,Slum Population - Male,Slum Population - Female,Slum Population - Child (0-6),Population - SC Category,Population - ST Category,Literacy Rate (%)
Bhuabneswar,North,NA,1,NA,NA,3,4261,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,2,NA,NA,5,4334,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,3,NA,NA,5,1208,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,4,NA,NA,19,4327,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,5,NA,NA,8,4992,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,6,NA,NA,3,1163,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,7,NA,NA,2,666,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,8,NA,NA,4,3364,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,9,NA,NA,13,7409,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,10,NA,NA,14,5849,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,11,NA,NA,3,1541,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,12,NA,NA,6,4734,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,13,NA,NA,3,3173,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,14,NA,NA,10,7494,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-West,NA,15,NA,NA,2,3030,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,16,NA,NA,15,19610,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,17,NA,NA,9,8314,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,18,NA,NA,3,1962,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,19,NA,NA,3,2504,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,20,NA,NA,10,11513,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,21,NA,NA,5,11086,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-West,NA,22,NA,NA,13,12042,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-West,NA,23,NA,NA,16,9983,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-West,NA,24,NA,NA,4,2740,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-West,NA,25,NA,NA,4,2828,NA,NA,NA,NA,NA,NA
Bhuabneswar,North,NA,26,NA,NA,9,10271,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-West,NA,27,NA,NA,4,6578,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-East,NA,28,NA,NA,5,5196,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-East,NA,29,NA,NA,5,3959,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-East,NA,30,NA,NA,3,1917,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-East,NA,31,NA,NA,6,4206,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-East,NA,32,NA,NA,4,2656,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-East,NA,33,NA,NA,3,3374,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-East,NA,34,NA,NA,6,6302,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-East,NA,35,NA,NA,7,4605,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-East,NA,36,NA,NA,2,839,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-West,NA,37,NA,NA,5,2281,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-West,NA,38,NA,NA,6,1562,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-West,NA,39,NA,NA,5,1864,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-East,NA,40,NA,NA,13,5446,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-East,NA,41,NA,NA,11,7379,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-East,NA,42,NA,NA,8,4398,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-East,NA,43,NA,NA,5,1470,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-East,NA,44,NA,NA,3,936,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-East,NA,45,NA,NA,8,1673,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-West,NA,46,NA,NA,11,5030,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-West,NA,47,NA,NA,10,6780,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-West,NA,48,NA,NA,6,4670,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-West,NA,49,NA,NA,5,1470,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-West,NA,50,NA,NA,4,2878,NA,NA,NA,NA,NA,NA
Bhuabneswar,South-West,NA,51,NA,NA,4,3601,NA,NA,NA,NA,NA,NA
